Geneid	SRR7821918	SRR7821919	SRR7821920	SRR7821921	SRR7821922	SRR7821937	SRR7821938	SRR7821939	SRR7821949	SRR7821950	SRR7821951	SRR7821952	SRR7821953	SRR7821968	SRR7821969	SRR7821970
ENSMUSG00000083657	2	1	1	2	7	2	3	1	0	0	0	0	0	0	0	0
ENSMUSG00002076709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020681	21898	21907	20570	24442	17767	36610	49672	34912	265	175	270	145	233	3070	2567	1849
ENSMUSG00000086666	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000101605	22	15	25	13	20	145	187	160	0	0	0	0	0	0	5	4
ENSMUSG00000037331	5721	6664	5374	7300	6061	5378	6057	5488	7597	5782	7591	6580	4277	1619	961	1019
ENSMUSG00000000804	2058	2587	2463	2932	2761	2310	1710	3062	1662	1301	2179	1387	1249	1582	1686	1866
ENSMUSG00000086962	1	0	2	0	0	4	0	5	0	1	0	0	0	0	0	0
ENSMUSG00000081223	0	0	1	4	0	1	1	4	1	0	2	1	4	0	0	0
ENSMUSG00000082917	2	1	1	1	0	2	0	2	0	0	1	0	0	0	3	3
ENSMUSG00000083876	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0
ENSMUSG00000082806	0	2	1	3	2	5	8	6	2	0	3	1	2	0	0	4
ENSMUSG00000001901	6	3	2	0	2	8	11	15	1	0	0	0	0	0	0	0
ENSMUSG00000119257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000078812	10074	10725	8153	11264	10191	8454	10159	8135	12610	10022	13204	10545	8607	4304	3490	4282
ENSMUSG00000020515	1642	1556	1497	1666	1470	2295	2443	2406	1294	1117	1601	1081	885	764	369	699
ENSMUSG00000049354	3846	3560	3389	4129	3590	5235	5302	5577	2835	2037	3215	2015	1574	1693	1040	1401
ENSMUSG00000018479	0	1	3	1	0	2	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000085033	0	2	1	3	1	5	4	0	2	1	1	3	1	0	0	0
ENSMUSG00000085255	6	5	2	4	6	6	16	15	6	1	12	3	8	29	13	9
